X,Y,Z
-0.5086646583721215,-0.5628198743905085,-0.28673181542602527
-0.5068609275085689,-0.5673622540926391,-0.28946172436865086
-0.5013040804455293,-0.5677035278281309,-0.29004827715991693
-0.4669202085309787,-0.5349675855928361,-0.2737083444810563
-0.4408951483373075,-0.5110943047023356,-0.26185899457321865
-0.435743844802972,-0.5110873862176819,-0.2622174823620171
-0.0011994583447748667,-0.001423525644222723,-0.0007313513515198
-0.001190155279407563,-0.0014292849496527575,-0.0007353062787533094
-0.001180811939762583,-0.0014349958887730028,-0.0007392363235788171
-0.001171428642014011,-0.0014406582683280475,-0.0007431413530055111
-0.0011620057036880928,-0.0014462718967057128,-0.0007470212348890891
-0.001152543443652494,-0.001451836583943536,-0.000750875837936229
-0.0011430421821055068,-0.0014573521417351985,-0.0007547050317090324
-0.0011335022405652157,-0.0014628183834368984,-0.0007585086866294382
-0.0011239239418586176,-0.0014682351240736665,-0.0007622866739836081
-0.0011143076101106971,-0.0014736021803456259,-0.0007660388659262814
-0.0011046535707334591,-0.001478919370634194,-0.0007697651354851019
-0.0010949621504149154,-0.0014841865150082294,-0.0007734653565649143
-0.0010852336771080317,-0.0014894034352301202,-0.0007771394039520309
-0.0010754684800196276,-0.0014945699547618146,-0.0007807871533184695
-0.0010656668895992394,-0.0014996858987707965,-0.0007844084812261595
-0.0010558292375279347,-0.001504751094136001,-0.0007880032651311206
-0.0010459558567070906,-0.0015097653694536729,-0.000791571383387608
-0.001036047081247127,-0.0015147285550431652,-0.0007951127152522296
-0.0010261032464562027,-0.0015196404829526846,-0.000798627140888032
-0.0010161246888288659,-0.0015245009869649714,-0.0008021145413685554
-0.0010061117460346684,-0.001529309902602927,-0.0008055747986818584
-0.0009960647569067413,-0.0015340670671351766,-0.0008090077957345107
-0.0009859840614303255,-0.001538772319581579,-0.0008124134163555566
-0.0009758700007312687,-0.0015434255007186726,-0.0008157915453004452
-0.000965722917064482,-0.0015480264530850635,-0.0008191420682549307
-0.0009555431538023575,-0.0015525750209867538,-0.0008224648718389405
-0.0009453310554231485,-0.0015570710505024114,-0.0008257598436104126
-0.0009350869674993137,-0.0015615143894885765,-0.0008290268720690991
-0.0009248112366858223,-0.0015659048875848128,-0.0008322658466603412
-0.0009145042107084229,-0.0015702423962187925,-0.0008354766577788088
-0.0009041662383518789,-0.001574526768611326,-0.0008386591967722101
-0.0008937976694481619,-0.0015787578597813295,-0.0008418133559449688
-0.0008833988548646173,-0.0015829355265507283,-0.0008449390285618672
-0.0008729701464920898,-0.0015870596275493038,-0.0008480361088516594
-0.0008625118972330147,-0.0015911300232194785,-0.00085110449201065
-0.0008520244609894767,-0.001595146575821036,-0.0008541440742062402
-0.000841508192651234,-0.0015991091494357832,-0.0008571547525804422
-0.0008309634480837091,-0.0016030176099721505,-0.0008601364252533594
-0.0008203905841159464,-0.0016068718251697268,-0.0008630889913266338
-0.0008097899585285365,-0.0016106716646037398,-0.0008660123508868612
-0.0007991619300415107,-0.0016144169996894651,-0.0008689064050089711
-0.0007885068583021995,-0.001618107703686578,-0.000871771055759575
-0.16995477962739355,-0.3543509762862611,-0.19110144979298146
-0.0007671170282195019,-0.001625324720701349,-0.0008774117603909709
-0.16300053650667762,-0.35101734807611823,-0.1896804344294463
-0.1584449616711774,-0.3468683627436963,-0.18762340787150306
-0.1546835096445238,-0.34432274459110684,-0.18642931021390274
-0.1538561113946862,-0.34830827802366615,-0.18877142416023715
-0.1472746726577728,-0.33915615661631815,-0.1839899089595872
-0.14433008309606504,-0.3381814849562363,-0.18363856163987477
