X,Y,Z
-1.5426714791531528,-0.10499010928102248,-0.5844237923014136
-1.538894621515819,-0.11364531669311784,-0.5871023432419497
-1.5387941935155776,-0.12257202353380647,-0.5911834856429554
-1.5451445656059573,-0.1320720950550487,-0.597770384677091
-1.5514205170783693,-0.14166334379112167,-0.6043734667905123
-1.5529852758278697,-0.15089494336061815,-0.6091737754866903
-1.5517096611989916,-0.15987772766094166,-0.6128724467069152
-1.6150934910961028,-0.1759143616090013,-0.6422900400978756
-1.6911530740834155,-0.19418170776393517,-0.6771404906425836
-1.6913383282804788,-0.20421725420965364,-0.6818321731715624
-1.6850160477280025,-0.21346159546021437,-0.6838979415410553
-1.6869175379648178,-0.22375321687036864,-0.6893040183513237
-1.6859951676541396,-0.2337086615845556,-0.6935739135096345
-1.6831781670237942,-0.2434124609725986,-0.6970694723279083
-1.683961080273375,-0.2536588662732192,-0.7020660417362747
-1.6773733892169296,-0.26279502077652817,-0.7039897069956352
-1.6789407164086767,-0.2732143463424511,-0.7093385595797471
-1.672250935991571,-0.2822955215271036,-0.7112014025198742
-1.6718713867478996,-0.29243639781281516,-0.7157454063294076
-1.662365734692203,-0.30095877414097594,-0.7163721940361754
-1.6555407381686285,-0.3099052920785883,-0.7181259656126964
-1.660404852296495,-0.32106778584619755,-0.7249629826379603
-1.6570752735244842,-0.3306961324463017,-0.7282456513375597
-1.6527909409264079,-0.34012834898404576,-0.7311061490332073
-1.6574230124213363,-0.3514403181170719,-0.7379314629330628
-1.652120425840045,-0.3606850595841674,-0.7403517167341205
-1.6521278856052435,-0.3711003300136382,-0.745156711006874
-1.6467172403818358,-0.38030986997403404,-0.7475231878130205
-1.646593455903584,-0.3907517191249553,-0.7522948354619934
-1.6330917900391433,-0.3979792108518605,-0.7509361144574849
-1.6408200969140077,-0.41039173675003904,-0.759344698702731
-1.6334292951188654,-0.4190739963224339,-0.7607800291431794
-1.6374505982237115,-0.430712683836904,-0.7675437740110264
-1.6281979987396147,-0.4388769805348065,-0.7680933790691509
-1.6189162791628933,-0.4469646278836924,-0.7685975236818776
-1.4933225755825905,-0.42210644507206085,-0.713497058545694
-0.001744160960696604,-0.0005045331256031757,-0.0008386591967722101
-0.0017396415993090248,-0.0005147793310592686,-0.0008418133559449688
-0.0017350633692930905,-0.0005250081166323596,-0.0008449390285618672
-1.1645769942821835,-0.3602024817057869,-0.570728306094662
-1.1553768907935287,-0.3651533751041674,-0.5698144753844403
-1.1435892791903308,-0.36918724091292404,-0.5675787596333056
-1.1412496352785655,-0.3762185216525853,-0.5700079017846171
-1.1294544810860443,-0.380079907858519,-0.5676900362613628
-1.1193764428082909,-0.3844131529195794,-0.5661863670568726
-1.1101509114382542,-0.38895059297823376,-0.5650730610204275
-1.101771022602691,-0.3937073246828626,-0.5643546940204155
-1.0976124710432833,-0.3999309336807822,-0.5657794307155521
-1.0866774786172588,-0.4036258734321532,-0.5636836881361528
-1.0765928641025269,-0.40753508164768154,-0.5619822137869621
-1.074053979707692,-0.41425870196976844,-0.5642002683368911
-1.0581113226347565,-0.41572835218439397,-0.5593385081333756
-1.0513699704131927,-0.42069854901805664,-0.5592878910500743
-1.0437850366056574,-0.4252767253200875,-0.5587634070424689
-1.029576364683342,-0.4270468544448113,-0.5546426825150327
-0.9783160765745066,-0.4130162204139259,-0.5303624628720705
-0.9626660576002519,-0.41357298714404794,-0.5251814584750757
-0.9593463324865015,-0.419334998199341,-0.5266848128688806
-0.9576255118075754,-0.425808207093423,-0.5290716474420777
-0.9493584189312397,-0.42934591187420323,-0.5278303882253261
-0.0016197829918863605,-0.0007449404696035708,-0.0009062930739678538
-0.0016138975048652778,-0.0007546744041442133,-0.0009087363575310646
-0.0016079574043350365,-0.0007643828008688802,-0.0009111488898964854
-0.0,0.0,-0.0
-0.0015959141686288588,-0.0007837216676358377,-0.0009158813755216225
-0.0015898114409901806,-0.0007933514832602522,-0.0009182011686363196
-0.0015836549149030681,-0.0008029544522550841,-0.0009204898902686073
-0.00157744479870138,-0.0008125302496605185,-0.0009227474629692553
-0.0015711813025324377,-0.0008220785514362128,-0.0009249738103430977
-0.0015648646383499153,-0.0008315990344722648,-0.0009271688570516187
-0.0015584950199066662,-0.0008410913766001433,-0.000929332528815502
-0.0015520726627474904,-0.0008505552566035925,-0.0009314647524171437
-0.0015455977842018412,-0.0008599903542295016,-0.0009335654557031312
-0.001539070603376469,-0.0008693963501987406,-0.0009356345675866835
-0.0015324913411480091,-0.0008787729262169659,-0.0009376720180500575
-0.0015258602201555053,-0.0008881197649853907,-0.0009396777381469173
-0.0015191774647928776,-0.0008974365502115227,-0.0009416516600046673
-0.0015124433012013276,-0.0009067229666198662,-0.0009435937168267486
-0.0015056579572616867,-0.0009159786999625922,-0.0009455038428949
-0.0014988216625867043,-0.0009252034370301713,-0.0009473819735713814
-0.0014919346485132777,-0.0009343968656619732,-0.0009492280453011609
-0.0014849971480946247,-0.0009435586747568299,-0.0009510419956140665
-0.001478009396092396,-0.0009526885542835634,-0.0009528237631268987
-0.0014709716289687319,-0.0009617861952914764,-0.0009545732875455089
-0.0014638840848782602,-0.0009708512899208081,-0.0009562905096668388
-0.0014567470036600362,-0.00097988353141315,-0.0009579753713809243
-0.0014495606268294294,-0.0009888826141218297,-0.0009596278156728619
-0.001442325197569947,-0.000997848233522251,-0.0009612477866247377
-0.0014350409607250074,-0.0010067800862221992,-0.0009628352294175202
-0.0014277081627896548,-0.0010156778699721093,-0.0009643900903329148
-0.001420327051902216,-0.0010245412836752932,-0.000965912316755182
-0.0014128978778359049,-0.0010333700273981272,-0.0009674018571729173
-0.0014054208919903708,-0.001042163802380205,-0.0009688586611807955
-0.0013978963473831895,-0.0010509223110444434,-0.000970282679481275
-0.0013903244986413028,-0.0010596452570071557,-0.0009716738638862669
-0.0013827056019924018,-0.0010683323450880794,-0.0009730321673187655
-0.0013750399152562547,-0.0010769832813203651,-0.000974357543814441
-0.0013673276978359852,-0.0010855977729605248,-0.0009756499485231952
-0.001359569210709291,-0.0010941755284983373,-0.0009769093377106795
-0.0013517647164196162,-0.001102716257666714,-0.0009781356687597743
-0.0013439144790672636,-0.0011112196714515201,-0.0009793289001720315
-0.0013360187643004593,-0.0011196854821013556,-0.0009804889915690784
-0.0013280778393063631,-0.001128113403137292,-0.0009816159036939846
-0.0013200919728020278,-0.001136503149362568,-0.0009827095984125903
-0.0013120614350253038,-0.0011448544368722377,-0.000983770038714796
